study_id,trial_number,trial_mode,box_number,distance_traveled,trial_time
s102,65,3,4,0.3278671174040147,1014
s102,66,2,8,0.6022963167221949,2325
s102,67,1,8,0.5091902372460082,1961
s102,68,2,8,0.6831491081173804,2645
s102,69,1,4,0.2896941052947183,1094
s102,70,2,8,0.6491626492095959,3374
s102,71,1,12,0.8787565701787603,3665
s102,72,1,12,0.7615688257017251,3695
s102,73,2,4,0.2528729117661789,1567
s102,74,1,12,1.0875815267972155,3779
s102,75,4,12,1.4512462530869583,7045
s102,76,4,8,0.8717153366060548,3901
s102,77,3,8,0.5883256780411845,2194
s102,78,4,4,0.21382828122716868,1017
s102,79,2,4,0.2699236327400795,1193
s102,80,3,12,0.8865112477362251,3579
s102,81,4,8,0.9216474733874384,4360
s102,82,4,12,0.7709758274904897,3533
s102,83,4,12,1.3434695233409244,5360
s102,84,3,12,0.9980661235296004,3492
s102,85,2,4,0.6236410693373212,2269
s102,86,4,12,0.830460395905254,3840
s102,87,4,4,0.566018751702942,2275
s102,88,4,8,0.5334239691443271,2437
s102,89,4,12,1.318063874986468,5323
s102,90,1,12,0.7379137556541469,2909
s102,91,2,8,0.4369233978626223,1960
s102,92,4,4,0.36416537527994264,1321
s102,93,3,4,0.2694160937769089,1052
s102,94,2,8,0.4494996766035983,2023
s102,95,2,12,1.437274772256473,7368
s102,96,2,4,0.4455239880590948,2093
s102,97,4,12,0.603225936564588,4167
s102,98,2,8,1.3264761917049974,6368
s102,99,4,8,0.6291061131736071,2779
s102,100,3,4,0.5158991450473479,2043
s102,101,1,12,0.7897157375963727,3501
s102,102,4,12,1.6323839737510677,7511
s102,103,2,4,0.37477937206147705,1799
s102,104,2,12,2.5034633616330333,11138
s102,105,2,12,1.2168261009456738,6263
s102,106,4,8,0.4864461060822632,2544
s102,107,4,4,0.35650399849875636,1393
s102,108,3,8,0.3520527869254986,1827
s102,109,1,12,0.887665502034901,3367
s102,110,2,12,0.8032114861234682,4071
s102,111,1,4,0.5381969770079182,1673
s102,112,2,8,0.92198817995918525,5103
s102,113,2,4,0.5053303904380978,2203
s102,114,4,8,0.7874419233235577,5415
s102,115,3,8,0.6496370626786685,3040
s102,116,4,12,1.2449559234737926,6398
s102,117,1,8,0.8379969330844337,3586
s102,118,4,4,0.4396788574837559,2659
s102,119,4,4,0.24035851302638675,1364
s102,120,3,4,0.44153740586121065,1626
s102,121,2,12,1.423739437884585,6911
s102,122,2,4,0.2841029576629811,1463
s102,123,4,4,0.5568533304294054,2470
s102,124,4,4,0.3962014761398121,1854
s102,125,1,8,0.8146243835605986,2935
s102,126,2,4,0.5568450758429015,2877
s102,127,1,4,0.6101932334126282,2689
s102,128,1,12,0.7310444757014702,3318
s102,129,1,8,0.6159190453887443,2400
s102,130,4,12,0.8296251481745673,3622
s102,131,1,8,0.8137124394514972,3097
s102,132,1,12,0.9820473342520764,3999
s102,133,1,12,0.6580928382129804,2965
s102,134,2,4,0.32765437557766414,1526
s102,135,2,12,0.8701963343785201,3482
s102,136,1,8,0.7689945277672322,3170
s102,137,4,12,1.4875183056528476,6920
s102,138,4,12,1.1963414629329103,5150
s102,139,2,8,0.6291264438085509,2721
s102,140,3,12,0.9823220327129296,3555
s102,141,4,8,0.49023995142389776,2418
s102,142,4,8,1.076630398840133,4151
s102,143,2,12,1.0181246341251649,4624
s102,144,4,12,0.6370582686252155,3530
s102,145,3,12,0.9526343114638568,4361
s102,146,2,12,1.7717407756294217,8804
s102,147,4,8,0.7215335333109028,3843
s102,148,4,4,0.5261893790025584,2093
s102,149,2,12,0.5028486273496676,2874
s102,150,1,4,0.35545756781666166,2064
s102,151,1,8,0.5104681917359868,2417
s102,152,4,4,0.635514166313825,2729
s102,153,3,12,0.6941320073910249,2786
s102,154,2,4,0.31539417900744143,1878
s102,155,2,4,0.2634515101312048,1220
s102,156,4,8,0.5287440938051384,2590
s102,157,1,12,0.8115935255734898,3775
s102,158,2,8,0.5300137250690921,2862
s102,159,4,4,0.4190768398457261,1740
s102,160,3,8,0.7139017630392808,2859
s102,161,2,8,0.6507160289900712,3308
s102,162,1,4,0.6000367463297757,1701
